Bratislavský kraj,,, 
,,, 
Bratislava - obvod č. 1,,, 
,,, 
Karol Zachar,"HZD, ĽS-HZDS, SNS, SMER",3 996, 
Peter Markovič,"HZD, ĽS-HZDS, SNS, SMER",3 741, 
Michal Okruhlica,"KDH, SDKÚ-DS",3 635, 
Tibor Čepec,"HZD, ĽS-HZDS, SNS, SMER",3 302, 
Beata Slováková,"KDH, SDKÚ-DS",3 252, 
Jozef Ďuračka,"HZD, ĽS-HZDS, SNS, SMER",3 211, 
Stanislav Križan,NEKA,2 706, 
Mariana Čapeľová,NEKA,2 521, 
Peter Ryška,EDS,2 394, 
Jozef Kozoň,NEKA,2 231, 
Ivan Haščík,NEKA,2 181, 
Andrej Dobrovodský,MOST-HÍD,2 065, 
Anna Melíšková,SZS,1 517, 
Marián Viskupič,SaS,1 465, 
Alojz Matúš,NEKA,1 367, 
Oto Kopál,SaS,1 296, 
Pavol Mrva,EDS,1 251, 
Rudolf Rybanský,ND,1 251, 
Ladislav Roman,NEKA,1 206, 
Alena Roglová,EDS,1 158, 
Miroslav Herich,SaS,1 056, 
Július Šefčík,EDS,967, 
Ján Skukálek,ND,909, 
Rudolf Baroš,ND,901, 
Roman Lenorák,EDS,879, 
Mária Solovičová,NEKA,832, 
Štefan Katona,ZRS,826, 
Anton Železník,MOST-HÍD,802, 
Marián Mužík,KSS,770, 
Imrich Borbély,MOST-HÍD,710, 
Peter Gádoši,MOST-HÍD,583, 
Marián Barcaj,MOST-HÍD,570, 
Roman Krivošík,SNJ,565, 
Renáta Dolinajová,MOST-HÍD,482, 
Marián Jankech,MOST-HÍD,404, 
Jozef Vaško,MOST-HÍD,349, 
,,, 
Trenčiansky kraj,,, 
,,, 
Obvod Bánovce nad Bebravou,,, 
,,, 
Ladislav Kšiňan,"KDH, SDKÚ-DS",1 325, 
Ivan Šagát,"ĽS-HZDS, SMER",1 245, 
Elena Magdolenová,NEKA,1 170, 
